fait|fait2|faire|FACERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
fame|fame|feme|FEMINA||NOUN||Fem,Sing
feme|feme|feme|FEMINA||NOUN||Fem,Sing
feme|feme1|feme|FEMINA||NOUN||Fem,Plur
femelles|femelles|femele|FEMELLA||NOUN||Fem,Plur
femes|femes|feme|FEMINA||NOUN||Fem,Plur
fer|fer1|faire|FACERE||VERB||Ind,Inf,Pres,Act,Trans
fere|fere|faire|FACERE||VERB||Ind,Inf,Pres,Act,Trans
feroit|feroit|faire|FACERE||VERB||Fin,Cnd,Pres,Act,Trans,3,Sing
fet|fet|faire|FACERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
fete|fete3|faire|FACERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
fete|fete4|faire|FACERE||VERB|Adj|Ind,Part,Past,Sing,Fem
fetes|fetes1|faire|FACERE||VERB|compPass|Ind,Part,Past,Plur,Fem,MWEs
filles|filles|fille|FILIA||NOUN||Fem,Plur
fils|fils|fil2|FILIUS||NOUN||Masc,Plur,Nom
filz|filz|fil2|FILIUS||NOUN||Masc,Plur,Acc
fin|fin1|fin1|FINIS||NOUN||Fem,Sing
fin|fin2|fin2|FINIS||ADJ||Masc,Sing,Acc
finestres|finestres|fenestre|FENESTRA||NOUN||Fem,Plur
finé|finé|finer|FINIRE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
firent|firent|faire|FACERE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
fist|fist|faire|FACERE||VERB||Fin,Ind,Past,Intr,3,Sing
fist|fist1|faire|FACERE||VERB|auxMod|Fin,Ind,Past,3,Sing
fiz|fiz|fil2|FILIUS||NOUN||Masc,Sing,Nom
fiz|fiz1|fil2|FILIUS||NOUN||Masc,Sing,Acc
foi|foi|foi|FIDES||NOUN||Fem,Sing
fointanes|fointanes|fontaine|FONTANA||NOUN||Fem,Plur
fornis|fornis|fornir|*FRUMJAN||VERB|Adj|Ind,Part,Past,Sing,Masc
fors|fors|fors1|FORAS||ADP||
fors|fors3|fort|FORTIS||ADJ||Masc,Plur,Acc
fort|fort3|fort|FORTIS||ADJ||Fem,Sing
forteresse|forteresse|forterece|FORTIS||NOUN||Fem,Sing
fossés|fossés|fossé|FOSSA||NOUN||Masc,Plur,Nom
fossés|fossés1|fossé|FOSSA||NOUN||Masc,Plur,Acc
foïe|foïe|fuir|FUGERE||VERB||Ind,Part,Past,Sing,Fem
fu|fu|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Sing
fu|fu1|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
fu|fu2|estre1|ESSE||VERB|auxTens|Fin,Ind,Past,3,Sing,MWEs
fu|fu3|estre1|ESSE||VERB||Fin,Ind,Past,Intr,3,Sing
furent|furent|estre1|ESSE||VERB||Fin,Ind,Past,Intr,3,Plur
furent|furent2|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Plur,MWEs
furent|furent4|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Plur
fust|fust1|estre1|ESSE||VERB||Fin,Ind,Past,Intr,3,Sing
fust|fust2|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
