FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
doulor	doulor	dolor	DOLOR		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
en	en	en1	IN		ADP		
tristesse	tristesse	tristece	TRISTIS		NOUN		Fem,Sing
.	.						
et	et	et	ET		CCONJ		
ensi	ensi	ainsi	SIC		ADV		
demora	demora	demorer	DEMORARI		VERB		Fin,Ind,Past,Intr,3,Sing
tot	tot	tot	TOTUS		DET		Ind,Masc,Sing,Nom
les	les	le	ILLE		DET		ArtDef,Masc,Plur
jors	jors	jor	DIURNUM		NOUN		Masc,Plur,Acc
de	de	de	DE		ADP		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
vie	vie	vie1	VITA		NOUN		Fem,Sing
se	se	soi	SE		PRON		Prs,3,Sing,Acc
vengiance	vengiance	venjance	VINDICARE		NOUN		Fem,Sing
nen	nen	non	NON		ADV		Neg
est	est	estre1	ESSE		VERB		Fin,Ind,Pres,Intr,3,Sing
prise	prise	prendre	PREHENDERE		VERB	compPass	Ind,Part,Past,Sing,Fem,MWEs
.	.						
et	et	et	ET		CCONJ		
por	por	por2	PRO		ADP		
se	se	soi	SE		PRON		Prs,3,Sing,Acc
.	.						
biaus	biaus	bel	BELLUS		ADJ		Masc,Sing,Nom
seignors	seignors	seignor	SENIOR		NOUN		Masc,Plur,Nom
.	.						
je	je	je	EGO		PRON		Prs,1,Sing,Nom
ai	ai	avoir	HABERE		VERB	auxTens	Fin,Ind,Pres,1,Sing,MWEs
pensés	pensés	penser	PENSARE		VERB	compTens	Ind,Part,Past,Sing,Masc,MWEs
demander	demander	demander	DEMANDARE		VERB		Ind,Inf,Pres,Act,Trans
qerre	qerre	querre	QUAERERE		VERB		Ind,Inf,Pres,Act,Trans
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
suor	suor	seror	SOROR		NOUN		Fem,Sing
ensionan	ensionan	Esionam			PROPN		Fem,Sing
en	en	en1	IN		ADP		
grese	grese	Grèce			PROPN		Fem,Sing
.	.						
et	et	et	ET		CCONJ		
.	.						
c’	c’	se	SI		SCONJ		
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
avient	avient	avenir	ADVENIRE		VERB		Fin,Ind,Pres,Intr,3,Sing
q’	q’	queque	QUID		PRON		Rel,Acc
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
la	la	le	ILLE		DET		ArtDef,Fem,Sing
m’	m’	moi	ME		PRON		Prs,1,Sing,Acc
en	en	en1	IN		ADP		
voillent	voillent	voloir	VELLE		VERB	auxMod	Fin,Sub,Pres,3,Plur
rendre	rendre	rendre	REDDERE		VERB		Ind,Inf,Pres,Act,Trans
.	.						
de	de	de	DE		ADP		
part	part	part1	PARS		NOUN		Fem,Sing
diex	diex	dieu	DEUS		NOUN		Masc,Plur,Acc
soit	soit	estre1	ESSE		VERB		Fin,Sub,Pres,Intr,3,Sing
.	.						
et	et	et	ET		CCONJ		
se	se	soi	SE		PRON		Prs,3,Sing,Acc
rendre	rendre	rendre	REDDERE		VERB		Ind,Inf,Pres,Act,Trans
ne	ne	ne1	NON		ADV		Neg
la	la	le	ILLE		DET		ArtDef,Fem,Sing
me	me	moi	ME		PRON		Prs,1,Sing,Acc
voudront	voudront	voloir	VELLE		VERB	auxMod	Fin,Ind,Fut,3,Plur
.	.						
si	si	si	SIC		ADV		
penserons	penserons	penser	PENSARE		VERB		Fin,Ind,Fut,Intr,1,Plur
entre	entre	entre2	INTER		ADP		
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
et	et	et	ET		CCONJ		
mes	mes	mais1	MAGIS2		CCONJ		
fils	fils	fil2	FILIUS		NOUN		Masc,Plur,Nom
et	et	et	ET		CCONJ		
moi	moi	moi	ME		PRON		Prs,1,Sing,Acc
et	et	et	ET		CCONJ		
consoillerons	consoillerons	conseillier3	CONSILIARE		VERB		Fin,Ind,Fut,Intr,1,Plur
dou	dou	de	DE		ADP		PrepArt
guerroier	guerroier	guerroiier2	*WERRA		VERB		Ind,Inf,Pres,Intr
ou	ou	o3	AUT		CCONJ		
dou	dou	de	DE		ADP		PrepArt
laisier	laisier	laissier	LAXARE		VERB		Ind,Inf,Pres,Intr
.	.						
.	.						
coment	coment	coment	QUOMODO		ADV		Int
tos	tos	tot	TOTUS		DET		Ind,Masc,Sing,Nom
loerent	loerent	löer1	LAUDARE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
le	le	le	ILLE		DET		ArtDef,Masc,Sing
conseil	conseil	conseil	CONSILIUM		NOUN		Masc,Sing,Acc
qe	qe	queque	QUID		PRON		Rel,Nom
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
ot	ot	avoir	HABERE		VERB		Fin,Ind,Past,Act,Trans,3,Sing
doné	doné	doner	DONARE		VERB	compTens	Ind,Part,Past,Sing,Masc,MWEs
les	les	le	ILLE		DET		ArtDef,Masc,Plur
fils	fils	fil2	FILIUS		NOUN		Masc,Plur,Nom
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
et	et	et	ET		CCONJ		
les	les	le	ILLE		DET		ArtDef,Masc,Plur
autres	autres	autre	ALTER		PRON		Ind,Masc,Plur,Acc
barons	barons	baron	*BARO		NOUN		Masc,Plur,Nom
qi	qi	qui	QUI		PRON		Rel,Nom
au	au	a3	AD		ADP		PrepArt
parlement	parlement	parlement	PARABOLARE		NOUN		Masc,Sing,Acc
estoient	estoient	estre1	ESSE		VERB	auxCop	Fin,Ind,Imp,3,Plur
loerent	loerent	löer1	LAUDARE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
mult	mult	mout	MULTUS		ADV		
cestui	cestui	cest	ISTE		PRON		Dem,Masc,Sing,Nom
consoil	consoil	conseil	CONSILIUM		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
distrent	distrent	dire	DICERE		VERB		Fin,Ind,Past,Intr,3,Plur
qe	qe	queque	QUID		PRON		Rel,Nom
ce	ce	ce1	HOC		PRON		Dem,Neut,Sing,Nom
estoit	estoit	estre1	ESSE		VERB		Fin,Ind,Imp,Intr,3,Sing
bon	bon	bon	BONUS		ADJ		Masc,Sing,Acc
afer	afer	afaire	FACERE		NOUN		Masc,Sing,Nom
sans	sans	sans	SINE		ADP		
