FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
fils	fils	fil2	FILIUS		NOUN		Masc,Plur,Nom
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi1	roi	REX		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
les	les	le	ILLE		DET		ArtDef,Masc,Plur
autres	autres1	autre	ALTER		DET		Ind,Masc,Plur,Nom
barons	barons	baron	*BARO		NOUN		Masc,Plur,Nom
qi	qi	qui	QUI		PRON		Rel,Nom
au	au	a3	AD		ADP		PrepArt
parlement	parlement	parlement	PARABOLARE		NOUN		Masc,Sing,Acc
estoient	estoient1	estre1	ESSE		VERB		Fin,Ind,Imp,Intr,3,Plur
loerent	loerent	löer1	LAUDARE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
mult	mult	mout	MULTUS		ADV		
cestui	cestui1	cest	ISTE		DET		Dem,Masc,Sing,Acc
consoil	consoil	conseil	CONSILIUM		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
distrent	distrent	dire	DICERE		VERB		Fin,Ind,Past,Intr,3,Plur
qe	qe3	queque	QUID		SCONJ		
ce	ce	ce1	HOC		PRON		Dem,Neut,Sing,Nom
estoit	estoit1	estre1	ESSE		VERB	auxCop	Fin,Ind,Imp,3,Sing
bon	bon2	bon	BONUS		ADJ		Masc,Sing,Nom
afer	afer	afaire	FACERE		NOUN		Masc,Sing,Nom
sans	sans	sans	SINE		ADP		
targier	targier	targier2	*TARDICARE		VERB		Ind,Inf,Pres,Intr
.	.						
si	si	si	SIC		ADV		
eslist	eslist	eslire	ELIGERE		VERB		Fin,Ind,Past,Act,Trans,3,Sing
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
un	un	un	UNUS		DET		ArtIndef,Masc,Sing
sien	sien	suen	SUUS		DET		Poss,Masc,Sing,Acc
barons	barons2	baron	*BARO		NOUN		Masc,Sing,Acc
qi	qi	qui	QUI		PRON		Rel,Nom
mult	mult	mout	MULTUS		ADV		
estoit	estoit1	estre1	ESSE		VERB	auxCop	Fin,Ind,Imp,3,Sing
saje	saje	sage	SAPIDUS		ADJ		Masc,Sing,Nom
et	et	et	ET		CCONJ		
riche	riche2	riche	RîKI		ADJ		Masc,Sing,Nom
et	et	et	ET		CCONJ		
vaillant	vaillant	valoir	VALERE		VERB	Adj	Ind,Part,Pres
.	.						
et	et	et	ET		CCONJ		
mult	mult	mout	MULTUS		ADV		
savoit	savoit1	savoir	SAPERE		VERB		Fin,Ind,Imp,Act,Trans,3,Sing
de	de	de	DE		ADP		
plait	plait	plait	PLACITUM		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
loi	loi	loi3	LEX		NOUN		Fem,Sing
.	.						
qi	qi	qui	QUI		PRON		Rel,Nom
athenor	athenor	Anténor			PROPN		Masc,Sing,Nom
estoit	estoit2	estre1	ESSE		VERB	auxPass	Fin,Ind,Imp,3,Sing,MWEs
apellés	apellés	apeler	APELLARE		VERB	compPass	Ind,Part,Past,Sing,Masc,MWEs
.	.						
celui	celui2	cel	ILLE		PRON		Dem,Masc,Sing,Nom
apella	apella	apeler	APPELLARE		VERB		Fin,Ind,Past,Act,Trans,3,Sing
li	li	le	ILLE		DET		ArtDef,Masc,Sing
