nés|nés|naistre|NASCI||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
ou|ou|o3|AUT||CCONJ||
par|par|par|PER||ADP||
parage|parage|parage|PAR||NOUN||Masc,Sing,Acc
pardue|pardue|perdre|PERDERE||VERB|Adj|Ind,Part,Past,Sing,Fem
pardus|pardus|perdre|PERDERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
pensa|pensa|penser|PENSARE||VERB||Fin,Ind,Past,Intr,3,Sing
piece|piece|piece|*PETTIA||NOUN||Fem,Sing
por|por|por2|PRO||ADP||
por_ce_qe|por_ce_qe|por2|PRO||ADP|SConj |MWEs
por_ce_q’|por_ce_q’|por2|PRO||ADP|SConj |MWEs
por_qoi|por_qoi|por2|PRO/QUID||ADV||Int
porfitable|porfitable|porfitable|PROFECTUS||ADJ||Fem,Sing
preu|preu|pro|PRODE||ADJ||Masc,Sing,Nom
pris|pris|prix|PRETIUM||NOUN||Masc,Sing,Acc
puissent|puissent|pöoir|POSSE||VERB|auxMod|Fin,Sub,Imp,3,Plur
qe|qe|queque|QUID||PRON||Rel,Nom
qe|qe1|queque|QUID||PRON||Rel,Acc
qe|qe2|queque|QUID||DET||Int
qe|qe3|queque|QUID||SCONJ||
qi|qi|qui|QUI||PRON||Rel,Nom
qoi|qoi|coi2|QUID||PRON||Rel,Acc
quant|quant|cant1|QUANDO||SCONJ||
q’|q’|queque|QUID||PRON||Rel,Acc
raconte|raconte|raconter|COMPUTARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
raison|raison|raison|RATIO||NOUN||Fem,Sing
raison|raison1|raison|RATIO||NOUN||Fem,Sing,Acc
ramenceüs|ramenceüs|ramentevoir|MENTE HABERE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
receüs|receüs|recevoir|RECIPERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
remenbrance|remenbrance|remembrance|REMEMORARI||NOUN||Fem,Sing
retraire|retraire|retraire|RETRAHERE||VERB||Ind,Inf,Pres,Act,Trans
retrova|retrova|retrover|*TROPARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
riche|riche|riche|RîKI||ADJ||Fem,Sing
romanz|romanz|romanz|ROMANICE||NOUN||Masc,Sing,Acc
es|es|X|X||X||
rome|rome|Rome|||PROPN||Fem,Sing
